,id,movie,year,time,rating,score,votes,gross,description,director,star,genre
104,104,Requiem for a Dream,2000,102 min,8.3,68        ,"803,074",$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Darren Aronofsky,'Ellen Burstyn' 'Jared Leto' 'Jennifer Connelly' 'Marlon Wayans',"
Drama            "
523,523,Les choristes,2004,97 min,7.9,56        ,"60,066",$3.64M,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,Christophe Barratier,'Gérard Jugnot' 'François Berléand' 'Jean-Baptiste Maunier' 'Kad Merad',"
Comedy, Drama, Music            "
210,210,Mommy,I 2014,139 min,8.1,74        ,"54,627",$3.49M,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",Xavier Dolan,'Anne Dorval' 'Antoine Olivier Pilon' 'Suzanne Clément' 'Patrick Huard',"
Drama            "
755,755,En man som heter Ove,2015,116 min,7.7,70        ,"51,663",$3.36M,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",Hannes Holm,'Rolf Lassgård' 'Bahar Pars' 'Filip Berg' 'Ida Engvoll',"
Comedy, Drama, Romance            "
756,756,What We Do in the Shadows,2014,86 min,7.7,76        ,"172,290",$3.33M,"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts.","Directors:Jemaine Clement, Taika Waititi",'Jemaine Clement' 'Taika Waititi' 'Cori Gonzalez-Macuer' 'Jonny Brugh',"
Comedy, Horror            "
427,427,Der Himmel über Berlin,1987,128 min,8.0,79        ,"68,668",$3.33M,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal.",Wim Wenders,'Bruno Ganz' 'Solveig Dommartin' 'Otto Sander' 'Curt Bois',"
Drama, Fantasy, Romance            "
487,487,Manbiki kazoku,2018,121 min,7.9,93        ,"71,157",$3.31M,A family of small-time crooks take in a child they find outside in the cold.,Hirokazu Koreeda,'Lily Franky' 'Sakura Andô' 'Kirin Kiki' 'Mayu Matsuoka',"
Crime, Drama            "
339,339,All Quiet on the Western Front,1930,152 min,8.1,91        ,"59,853",$3.27M,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",Lewis Milestone,'Lew Ayres' 'Louis Wolheim' 'John Wray' 'Arnold Lucy',"
Drama, War            "
495,495,Sing Street,2016,106 min,7.9,79        ,"90,280",$3.24M,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,John Carney,'Ferdia Walsh-Peelo' 'Aidan Gillen' 'Maria Doyle Kennedy' 'Jack Reynor',"
Comedy, Drama, Music            "
126,126,Vertigo,1958,128 min,8.3,100        ,"386,418",$3.20M,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Alfred Hitchcock,'James Stewart' 'Kim Novak' 'Barbara Bel Geddes' 'Tom Helmore',"
Mystery, Romance, Thriller            "
939,939,La piel que habito,2011,120 min,7.6,70        ,"146,919",$3.19M,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",Pedro Almodóvar,'Antonio Banderas' 'Elena Anaya' 'Jan Cornet' 'Marisa Paredes',"
Drama, Horror, Thriller            "
851,851,Clerks,1994,92 min,7.7,70        ,"217,565",$3.15M,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Kevin Smith,"""Brian O'Halloran"" 'Jeff Anderson' 'Marilyn Ghigliotti' 'Lisa Spoonauer'","
Comedy            "
149,149,Zindagi Na Milegi Dobara,2011,155 min,8.2,****,"73,813",$3.11M,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,Zoya Akhtar,'Hrithik Roshan' 'Farhan Akhtar' 'Abhay Deol' 'Katrina Kaif',"
Comedy, Drama            "
214,214,Relatos salvajes,2014,122 min,8.1,77        ,"189,086",$3.11M,Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron,'Darío Grandinetti' 'María Marull' 'Mónica Villa' 'Diego Starosta',"
Comedy, Drama, Thriller            "
822,822,Hedwig and the Angry Inch,2001,95 min,7.7,85        ,"34,791",$3.03M,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,John Cameron Mitchell,'John Cameron Mitchell' 'Miriam Shor' 'Stephen Trask' 'Theodore Liscinski',"
Comedy, Drama, Music            "
785,785,Harry Potter and the Deathly Hallows: Part 1,2010,146 min,7.7,65        ,"510,898",$295.98M,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",David Yates,'Daniel Radcliffe' 'Emma Watson' 'Rupert Grint' 'Bill Nighy',"
Adventure, Family, Fantasy            "
262,262,The Sixth Sense,1999,107 min,8.1,64        ,"950,502",$293.51M,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",M. Night Shyamalan,'Bruce Willis' 'Haley Joel Osment' 'Toni Collette' 'Olivia Williams',"
Drama, Mystery, Thriller            "
154,154,Up,2009,96 min,8.2,88        ,"986,753",$293.00M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Directors:Pete Docter, Bob Peterson",'Ed Asner' 'Jordan Nagai' 'John Ratzenberger' 'Christopher Plummer',"
Animation, Adventure, Comedy            "
10,10,Inception,2010,148 min,8.8,74        ,"2,202,151",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,'Leonardo DiCaprio' 'Joseph Gordon-Levitt' 'Elliot Page' 'Ken Watanabe',"
Action, Adventure, Sci-Fi            "
21,21,Star Wars: Episode V - The Empire Strikes Back,1980,124 min,8.7,82        ,"1,218,477",$290.48M,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner,'Mark Hamill' 'Harrison Ford' 'Carrie Fisher' 'Billy Dee Williams',"
Action, Adventure, Fantasy            "
810,810,Harry Potter and the Goblet of Fire,2005,157 min,7.7,81        ,"582,982",$290.01M,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Mike Newell,'Daniel Radcliffe' 'Emma Watson' 'Rupert Grint' 'Eric Sykes',"
Adventure, Family, Fantasy            "
887,887,Serpico,1973,130 min,7.7,87        ,"118,016",$29.80M,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,Sidney Lumet,'Al Pacino' 'John Randolph' 'Jack Kehoe' 'Biff McGuire',"
Biography, Crime, Drama            "
445,445,The Last Picture Show,1971,118 min,8.0,93        ,"45,537",$29.13M,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",Peter Bogdanovich,'Timothy Bottoms' 'Jeff Bridges' 'Cybill Shepherd' 'Ben Johnson',"
Drama, Romance            "
259,259,"Monsters, Inc.",2001,92 min,8.1,79        ,"860,355",$289.92M,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Directors:Pete Docter, David Silverman, Lee Unkrich",'Billy Crystal' 'John Goodman' 'Mary Gibbs' 'Steve Buscemi',"
Animation, Adventure, Comedy            "
979,979,Home Alone,1990,103 min,7.6,63        ,"523,712",$285.76M,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,Chris Columbus,'Macaulay Culkin' 'Joe Pesci' 'Daniel Stern' 'John Heard',"
Comedy, Family            "
678,678,The Insider,1999,157 min,7.8,84        ,"167,056",$28.97M,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,Michael Mann,'Russell Crowe' 'Al Pacino' 'Christopher Plummer' 'Diane Venora',"
Biography, Drama, Thriller            "
895,895,A Man for All Seasons,1966,120 min,7.7,72        ,"33,566",$28.35M,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",Fred Zinnemann,'Paul Scofield' 'Wendy Hiller' 'Robert Shaw' 'Leo McKern',"
Biography, Drama, History            "
1,1,The Shawshank Redemption,1994,142 min,9.3,80        ,"2,504,396",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,'Tim Robbins' 'Morgan Freeman' 'Bob Gunton' 'William Sadler',"
Drama            "
182,182,Taxi Driver,1976,114 min,8.2,94        ,"771,539",$28.26M,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Martin Scorsese,'Robert De Niro' 'Jodie Foster' 'Cybill Shepherd' 'Albert Brooks',"
Crime, Drama            "
781,781,The Hangover,2009,100 min,7.7,73        ,"750,369",$277.32M,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Todd Phillips,'Zach Galifianakis' 'Bradley Cooper' 'Justin Bartha' 'Ed Helms',"
Comedy            "
776,776,Gravity,2013,91 min,7.7,96        ,"798,128",$274.09M,Two astronauts work together to survive after an accident leaves them stranded in space.,Alfonso Cuarón,'Sandra Bullock' 'George Clooney' 'Ed Harris' 'Orto Ignatiussen',"
Action, Drama, Sci-Fi            "
424,424,Do the Right Thing,1989,120 min,8.0,93        ,"97,825",$27.55M,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",Spike Lee,'Danny Aiello' 'Ossie Davis' 'Ruby Dee' 'Richard Edson',"
Comedy, Drama            "
382,382,Dallas Buyers Club,2013,117 min,8.0,79        ,"466,324",$27.30M,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Jean-Marc Vallée,'Matthew McConaughey' 'Jennifer Garner' 'Jared Leto' 'Steve Zahn',"
Biography, Drama            "
855,855,The Muppet Christmas Carol,1992,85 min,7.7,64        ,"53,642",$27.28M,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,Brian Henson,'Michael Caine' 'Dave Goelz' 'Steve Whitmire' 'Jerry Nelson',"
Comedy, Drama, Family            "
541,541,Shrek,2001,90 min,7.9,84        ,"644,545",$267.67M,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.","Directors:Andrew Adamson, Vicky Jenson",'Mike Myers' 'Eddie Murphy' 'Cameron Diaz' 'John Lithgow',"
Animation, Adventure, Comedy            "
401,401,The Incredibles,2004,115 min,8.0,90        ,"687,966",$261.44M,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",Brad Bird,'Craig T. Nelson' 'Samuel L. Jackson' 'Holly Hunter' 'Jason Lee',"
Animation, Action, Adventure            "
438,438,Jaws,1975,124 min,8.0,87        ,"570,124",$260.00M,"When a killer shark unleashes chaos on beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg,'Roy Scheider' 'Robert Shaw' 'Richard Dreyfuss' 'Lorraine Gary',"
Adventure, Thriller            "
226,226,Rush,I 2013,123 min,8.1,74        ,"457,643",$26.95M,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard,'Daniel Brühl' 'Chris Hemsworth' 'Olivia Wilde' 'Alexandra Maria Lara',"
Action, Biography, Drama            "
927,927,Hell or High Water,II 2016,102 min,7.6,88        ,"217,327",$26.86M,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,David Mackenzie,'Chris Pine' 'Ben Foster' 'Jeff Bridges' 'Gil Birmingham',"
Action, Crime, Drama            "
699,699,Glory,1989,122 min,7.8,78        ,"130,924",$26.83M,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",Edward Zwick,'Matthew Broderick' 'Denzel Washington' 'Cary Elwes' 'Morgan Freeman',"
Biography, Drama, History            "
544,544,Boogie Nights,1997,155 min,7.9,85        ,"253,168",$26.40M,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",Paul Thomas Anderson,'Mark Wahlberg' 'Julianne Moore' 'Burt Reynolds' 'Luis Guzmán',"
Drama            "
511,511,The Wrestler,2008,109 min,7.9,80        ,"298,638",$26.24M,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",Darren Aronofsky,'Mickey Rourke' 'Marisa Tomei' 'Evan Rachel Wood' 'Mark Margolis',"
Drama, Sport            "
912,912,Searching,III 2018,102 min,7.6,71        ,"154,730",$26.02M,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",Aneesh Chaganty,'John Cho' 'Debra Messing' 'Joseph Lee' 'Michelle La',"
Drama, Mystery, Thriller            "
767,767,Captain America: The Winter Soldier,2014,136 min,7.7,70        ,"789,060",$259.77M,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.","Directors:Anthony Russo, Joe Russo",'Chris Evans' 'Samuel L. Jackson' 'Scarlett Johansson' 'Robert Redford',"
Action, Adventure, Sci-Fi            "
640,640,The Hobbit: The Desolation of Smaug,2013,161 min,7.8,66        ,"628,166",$258.37M,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",Peter Jackson,'Ian McKellen' 'Martin Freeman' 'Richard Armitage' 'Ken Stott',"
Adventure, Fantasy            "
775,775,The Lego Movie,2014,100 min,7.7,83        ,"338,212",$257.76M,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.","Directors:Christopher Miller, Phil Lord",'Chris Pratt' 'Will Ferrell' 'Elizabeth Banks' 'Will Arnett',"
Animation, Action, Adventure            "
515,515,Star Trek,2009,127 min,7.9,82        ,"592,875",$257.73M,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,J.J. Abrams,'Chris Pine' 'Zachary Quinto' 'Simon Pegg' 'Leonard Nimoy',"
Action, Adventure, Sci-Fi            "
943,943,The Blind Side,2009,129 min,7.6,53        ,"312,554",$255.96M,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",John Lee Hancock,'Quinton Aaron' 'Sandra Bullock' 'Tim McGraw' 'Jae Head',"
Biography, Drama, Sport            "
935,935,Despicable Me,2010,95 min,7.6,72        ,"521,894",$251.51M,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.","Directors:Pierre Coffin, Chris Renaud",'Steve Carell' 'Jason Segel' 'Russell Brand' 'Julie Andrews',"
Animation, Adventure, Comedy            "
366,366,Her,2013,126 min,8.0,91        ,"575,129",$25.57M,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Spike Jonze,'Joaquin Phoenix' 'Amy Adams' 'Scarlett Johansson' 'Rooney Mara',"
Drama, Romance, Sci-Fi            "
76,76,Memento,2000,113 min,8.4,80        ,"1,180,828",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan,'Guy Pearce' 'Carrie-Anne Moss' 'Joe Pantoliano' 'Mark Boone Junior',"
Mystery, Thriller            "
666,666,Serenity,2005,119 min,7.8,74        ,"290,677",$25.51M,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.,Joss Whedon,'Nathan Fillion' 'Gina Torres' 'Chiwetel Ejiofor' 'Alan Tudyk',"
Action, Adventure, Sci-Fi            "
793,793,Ex Machina,2014,108 min,7.7,78        ,"510,159",$25.44M,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,Alex Garland,'Alicia Vikander' 'Domhnall Gleeson' 'Oscar Isaac' 'Sonoya Mizuno',"
Drama, Sci-Fi, Thriller            "
513,513,Boyhood,I 2014,165 min,7.9,100        ,"346,459",$25.38M,"The life of Mason, from early childhood to his arrival at college.",Richard Linklater,'Ellar Coltrane' 'Patricia Arquette' 'Ethan Hawke' 'Elijah Smith',"
Drama            "
279,279,In the Name of the Father,1993,133 min,8.1,84        ,"167,641",$25.01M,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan,'Daniel Day-Lewis' 'Pete Postlethwaite' 'Alison Crosbie' 'Philip King',"
Biography, Crime, Drama            "
194,194,Some Like It Hot,1959,121 min,8.2,98        ,"256,659",$25.00M,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,'Marilyn Monroe' 'Tony Curtis' 'Jack Lemmon' 'George Raft',"
Comedy, Music, Romance            "
888,888,Enter the Dragon,1973,102 min,7.7,83        ,"101,695",$25.00M,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,Robert Clouse,'Bruce Lee' 'John Saxon' 'Jim Kelly' 'Ahna Capri',"
Action, Crime, Drama            "
529,529,Harry Potter and the Prisoner of Azkaban,2004,142 min,7.9,82        ,"589,614",$249.36M,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",Alfonso Cuarón,'Daniel Radcliffe' 'Emma Watson' 'Rupert Grint' 'Richard Griffiths',"
Adventure, Family, Fantasy            "
923,923,Moana,I 2016,107 min,7.6,81        ,"303,135",$248.76M,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","Directors:Ron Clements, John Musker, Don Hall, Chris Williams","""Auli'i Cravalho"" 'Dwayne Johnson' 'Rachel House' 'Temuera Morrison'","
Animation, Adventure, Comedy            "
78,78,Raiders of the Lost Ark,1981,115 min,8.4,85        ,"925,360",$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Steven Spielberg,'Harrison Ford' 'Karen Allen' 'Paul Freeman' 'John Rhys-Davies',"
Action, Adventure            "
542,542,Toy Story 2,1999,92 min,7.9,88        ,"553,746",$245.85M,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","Directors:John Lasseter, Ash Brannon, Lee Unkrich",'Tom Hanks' 'Tim Allen' 'Joan Cusack' 'Kelsey Grammer',"
Animation, Adventure, Comedy            "
918,918,Gifted,2017,101 min,7.6,60        ,"109,487",$24.80M,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",Marc Webb,'Chris Evans' 'Mckenna Grace' 'Lindsay Duncan' 'Octavia Spencer',"
Drama            "
270,270,Fargo,1996,98 min,8.1,85        ,"649,606",$24.61M,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Directors:Joel Coen, Ethan Coen",'William H. Macy' 'Frances McDormand' 'Steve Buscemi' 'Peter Stormare',"
Crime, Thriller            "
412,412,Sling Blade,1996,135 min,8.0,84        ,"91,887",$24.48M,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Billy Bob Thornton,'Billy Bob Thornton' 'Dwight Yoakam' 'J.T. Walsh' 'John Ritter',"
Drama            "
573,573,In the Heat of the Night,1967,110 min,7.9,75        ,"71,518",$24.38M,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.",Norman Jewison,'Sidney Poitier' 'Rod Steiger' 'Warren Oates' 'Lee Grant',"
Crime, Drama, Mystery            "
709,709,Ghostbusters,1984,105 min,7.8,71        ,"387,424",$238.63M,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",Ivan Reitman,'Bill Murray' 'Dan Aykroyd' 'Sigourney Weaver' 'Harold Ramis',"
Action, Comedy, Fantasy            "
501,501,X-Men: Days of Future Past,2014,132 min,7.9,75        ,"685,030",$233.92M,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,Bryan Singer,'Patrick Stewart' 'Ian McKellen' 'Hugh Jackman' 'James McAvoy',"
Action, Adventure, Sci-Fi            "
677,677,Cast Away,2000,143 min,7.8,73        ,"560,504",$233.63M,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,Robert Zemeckis,'Tom Hanks' 'Helen Hunt' 'Paul Sanchez' 'Lari White',"
Adventure, Drama, Romance            "
442,442,The Exorcist,1973,122 min,8.0,81        ,"382,134",$232.91M,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",William Friedkin,'Ellen Burstyn' 'Max von Sydow' 'Linda Blair' 'Lee J. Cobb',"
Horror            "
331,331,The Best Years of Our Lives,1946,170 min,8.1,93        ,"61,482",$23.65M,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",William Wyler,'Myrna Loy' 'Dana Andrews' 'Fredric March' 'Teresa Wright',"
Drama, Romance, War            "
659,659,Hot Fuzz,2007,121 min,7.8,81        ,"486,732",$23.64M,"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town.",Edgar Wright,'Simon Pegg' 'Nick Frost' 'Martin Freeman' 'Bill Nighy',"
Action, Comedy, Mystery            "
250,250,Hotel Rwanda,2004,121 min,8.1,79        ,"345,970",$23.53M,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,'Don Cheadle' 'Sophie Okonedo' 'Joaquin Phoenix' 'Xolani Mali',"
Biography, Drama, History            "
180,180,Raging Bull,1980,129 min,8.2,89        ,"338,893",$23.38M,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,'Robert De Niro' 'Cathy Moriarty' 'Joe Pesci' 'Frank Vincent',"
Biography, Drama, Sport            "
45,45,The Usual Suspects,1995,106 min,8.5,77        ,"1,038,766",$23.34M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,'Kevin Spacey' 'Gabriel Byrne' 'Chazz Palminteri' 'Stephen Baldwin',"
Crime, Drama, Mystery            "
411,411,The Iron Giant,1999,86 min,8.0,85        ,"183,003",$23.16M,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Brad Bird,'Eli Marienthal' 'Harry Connick Jr.' 'Jennifer Aniston' 'Vin Diesel',"
Animation, Action, Adventure            "
952,952,Match Point,2005,124 min,7.6,72        ,"213,219",$23.09M,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Woody Allen,'Scarlett Johansson' 'Jonathan Rhys Meyers' 'Emily Mortimer' 'Matthew Goode',"
Drama, Romance, Thriller            "
777,777,Star Trek Into Darkness,2013,132 min,7.7,72        ,"474,688",$228.78M,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",J.J. Abrams,'Chris Pine' 'Zachary Quinto' 'Zoe Saldana' 'Benedict Cumberbatch',"
Action, Adventure, Sci-Fi            "
355,355,The Martian,2015,144 min,8.0,80        ,"806,520",$228.43M,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",Ridley Scott,'Matt Damon' 'Jessica Chastain' 'Kristen Wiig' 'Kate Mara',"
Adventure, Drama, Sci-Fi            "
385,385,The Bourne Ultimatum,2007,115 min,8.0,85        ,"620,022",$227.47M,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Paul Greengrass,'Matt Damon' 'Edgar Ramírez' 'Joan Allen' 'Julia Stiles',"
Action, Adventure, Mystery            "
212,212,Logan,2017,137 min,8.1,77        ,"700,557",$226.28M,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,'Hugh Jackman' 'Patrick Stewart' 'Dafne Keen' 'Boyd Holbrook',"
Action, Drama, Sci-Fi            "
73,73,WALL·E,2008,98 min,8.4,95        ,"1,054,545",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton,'Ben Burtt' 'Elissa Knight' 'Jeff Garlin' 'Fred Willard',"
Animation, Adventure, Family            "
622,622,Big Hero 6,2014,102 min,7.8,74        ,"434,910",$222.53M,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.","Directors:Don Hall, Chris Williams",'Ryan Potter' 'Scott Adsit' 'Jamie Chung' 'T.J. Miller',"
Animation, Action, Adventure            "
754,754,Mission: Impossible - Fallout,2018,147 min,7.7,86        ,"311,926",$220.16M,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Christopher McQuarrie,'Tom Cruise' 'Henry Cavill' 'Ving Rhames' 'Simon Pegg',"
Action, Adventure, Thriller            "
688,688,The Remains of the Day,1993,134 min,7.8,86        ,"70,850",$22.95M,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,James Ivory,'Anthony Hopkins' 'Emma Thompson' 'John Haycraft' 'Christopher Reeve',"
Drama, Romance            "
837,837,Being John Malkovich,1999,113 min,7.7,90        ,"325,394",$22.86M,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,Spike Jonze,'John Cusack' 'Cameron Diaz' 'Catherine Keener' 'John Malkovich',"
Comedy, Drama, Fantasy            "
797,797,Lucky Number Slevin,2006,110 min,7.7,53        ,"307,365",$22.49M,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",Paul McGuigan,'Josh Hartnett' 'Ben Kingsley' 'Morgan Freeman' 'Lucy Liu',"
Crime, Drama, Thriller            "
406,406,Magnolia,1999,188 min,8.0,77        ,"302,245",$22.46M,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",Paul Thomas Anderson,'Tom Cruise' 'Jason Robards' 'Julianne Moore' 'Philip Seymour Hoffman',"
Drama            "
572,572,The Lion in Winter,1968,134 min,7.9,****,"30,583",$22.28M,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision.",Anthony Harvey,"""Peter O'Toole"" 'Katharine Hepburn' 'Anthony Hopkins' 'John Castle'","
Biography, Drama, History            "
